Inicio,Final,Intentos,Finaliza,Acierto
0,30,31,1,100%
31,68,38,1,100%
69,101,33,1,100%
102,132,31,1,100%
133,166,34,1,100%
167,198,32,1,100%
199,235,37,1,100%
236,271,36,1,100%
272,302,31,1,100%
303,341,39,1,100%
342,377,36,1,100%
378,418,41,1,100%
419,457,39,1,100%
458,496,39,1,100%
497,538,42,1,100%
539,571,33,1,100%
572,609,38,1,100%
610,646,37,1,100%
647,677,31,1,100%
678,709,32,1,100%
710,739,30,1,100%
740,778,39,1,100%
779,810,32,1,100%
811,848,38,1,100%
849,888,40,1,100%
889,922,34,1,100%
923,954,32,1,100%
955,988,34,1,100%
989,1025,37,1,100%
1026,1058,33,1,100%
1059,1093,35,1,100%
1094,1131,38,1,100%
1132,1172,41,1,100%
1173,1211,39,1,100%
1212,1243,32,1,100%
1244,1281,38,1,100%
1282,1313,32,1,100%
1314,1353,40,1,100%
1354,1393,40,1,100%
1394,1429,36,1,100%
1430,1458,29,1,100%
1459,1487,29,1,100%
1488,1518,31,1,100%
1519,1550,32,1,100%
1551,1585,35,1,100%
1586,1625,40,1,100%
1626,1660,35,1,100%
1661,1705,45,1,100%
1706,1741,36,1,100%
1742,1774,33,1,100%
1775,1811,37,1,100%
1812,1842,31,1,100%
1843,1882,40,1,100%
1883,1912,30,1,100%
1913,1949,37,1,100%
1950,1988,39,1,100%
1989,2029,41,1,100%
2030,2067,38,1,100%
2068,2106,39,1,100%
2107,2145,39,1,100%
2146,2177,32,1,100%
2178,2214,37,1,100%
2215,2252,38,1,100%
2253,2284,32,1,100%
2285,2316,32,1,100%
2317,2340,24,1,100%
2341,2374,34,1,100%
2375,2409,35,1,100%
2410,2448,39,1,100%
2449,2481,33,1,100%
2482,2515,34,1,100%
2516,2554,39,1,100%
2555,2592,38,1,100%
2593,2630,38,1,100%
2631,2671,41,1,100%
2672,2702,31,1,100%
2703,2740,38,1,100%
2741,2773,33,1,100%
2774,2804,31,1,100%
2805,2836,32,1,100%
2837,2877,41,1,100%
2878,2914,37,1,100%
2915,2951,37,1,100%
2952,2983,32,1,100%
2984,3016,33,1,100%
3017,3054,38,1,100%
3055,3095,41,1,100%
3096,3129,34,1,100%
3130,3161,32,1,100%
3162,3191,30,1,100%
3192,3224,33,1,100%
3225,3257,33,1,100%
3258,3289,32,1,100%
3290,3322,33,1,100%
3323,3360,38,1,100%
3361,3400,40,1,100%
3401,3439,39,1,100%
3440,3478,39,1,100%
3479,3516,38,1,100%
