Inicio,Final,Intentos,Finaliza,Acierto
0,45,46,1,100%
46,89,44,1,100%
90,141,52,1,100%
142,190,49,1,100%
191,225,35,1,100%
226,276,51,1,100%
277,323,47,1,100%
324,364,41,1,100%
365,407,43,1,100%
408,464,57,1,100%
465,507,43,1,100%
508,562,55,1,100%
563,610,48,1,100%
611,648,38,1,100%
649,710,62,1,100%
711,764,54,1,100%
765,804,40,1,100%
805,850,46,1,100%
851,891,41,1,100%
892,944,53,1,100%
945,985,41,1,100%
986,1032,47,1,100%
1033,1084,52,1,100%
1085,1128,44,1,100%
1129,1191,63,1,100%
1192,1220,29,1,100%
1221,1261,41,1,100%
1262,1320,59,1,100%
1321,1364,44,1,100%
1365,1398,34,1,100%
1399,1435,37,1,100%
1436,1477,42,1,100%
1478,1516,39,1,100%
1517,1571,55,1,100%
1572,1621,50,1,100%
1622,1685,64,1,100%
1686,1731,46,1,100%
1732,1789,58,1,100%
1790,1857,68,1,100%
1858,1897,40,1,100%
1898,1925,28,1,100%
1926,1966,41,1,100%
1967,2014,48,1,100%
2015,2066,52,1,100%
2067,2098,32,1,100%
2099,2159,61,1,100%
2160,2222,63,1,100%
2223,2276,54,1,100%
2277,2311,35,1,100%
2312,2369,58,1,100%
2370,2409,40,1,100%
2410,2458,49,1,100%
2459,2516,58,1,100%
2517,2546,30,1,100%
2547,2580,34,1,100%
2581,2623,43,1,100%
2624,2671,48,1,100%
2672,2711,40,1,100%
2712,2752,41,1,100%
2753,2796,44,1,100%
2797,2857,61,1,100%
2858,2906,49,1,100%
2907,2962,56,1,100%
2963,3006,44,1,100%
3007,3054,48,1,100%
3055,3087,33,1,100%
3088,3130,43,1,100%
3131,3188,58,1,100%
3189,3249,61,1,100%
3250,3278,29,1,100%
3279,3311,33,1,100%
3312,3348,37,1,100%
3349,3390,42,1,100%
3391,3433,43,1,100%
3434,3489,56,1,100%
3490,3531,42,1,100%
3532,3578,47,1,100%
3579,3625,47,1,100%
3626,3668,43,1,100%
3669,3695,27,1,100%
3696,3744,49,1,100%
3745,3792,48,1,100%
3793,3848,56,1,100%
3849,3889,41,1,100%
3890,3929,40,1,100%
3930,3974,45,1,100%
3975,4023,49,1,100%
4024,4076,53,1,100%
4077,4118,42,1,100%
4119,4160,42,1,100%
4161,4188,28,1,100%
4189,4218,30,1,100%
4219,4259,41,1,100%
4260,4292,33,1,100%
4293,4342,50,1,100%
4343,4404,62,1,100%
4405,4477,73,1,100%
4478,4528,51,1,100%
4529,4571,43,1,100%
