Inicio,Final,Intentos,Finaliza,Acierto
0,65,66,1,100%
66,129,64,1,100%
130,201,72,1,100%
202,271,70,1,100%
272,324,53,1,100%
325,395,71,1,100%
396,458,63,1,100%
459,517,59,1,100%
518,570,53,1,100%
571,648,78,1,100%
649,702,54,1,100%
703,779,77,1,100%
780,844,65,1,100%
845,895,51,1,100%
896,977,82,1,100%
978,1051,74,1,100%
1052,1107,56,1,100%
1108,1165,58,1,100%
1166,1234,69,1,100%
1235,1307,73,1,100%
1308,1359,52,1,100%
1360,1419,60,1,100%
1420,1489,70,1,100%
1490,1550,61,1,100%
1551,1637,87,1,100%
1638,1688,51,1,100%
1689,1756,68,1,100%
1757,1837,81,1,100%
1838,1898,61,1,100%
1899,1948,50,1,100%
1949,2003,55,1,100%
2004,2060,57,1,100%
2061,2118,58,1,100%
2119,2195,77,1,100%
2196,2261,66,1,100%
2262,2346,85,1,100%
2347,2413,67,1,100%
2414,2489,76,1,100%
2490,2576,87,1,100%
2577,2630,54,1,100%
2631,2679,49,1,100%
2680,2731,52,1,100%
2732,2797,66,1,100%
2798,2868,71,1,100%
2869,2923,55,1,100%
2924,3000,77,1,100%
3001,3081,81,1,100%
3082,3155,74,1,100%
3156,3209,54,1,100%
3210,3283,74,1,100%
3284,3338,55,1,100%
3339,3406,68,1,100%
3407,3485,79,1,100%
3486,3543,58,1,100%
3544,3600,57,1,100%
3601,3661,61,1,100%
3662,3728,67,1,100%
3729,3775,47,1,100%
3776,3832,57,1,100%
3833,3894,62,1,100%
3895,3974,80,1,100%
3975,4039,65,1,100%
4040,4113,74,1,100%
4114,4165,52,1,100%
4166,4231,66,1,100%
4232,4279,48,1,100%
4280,4338,59,1,100%
4339,4415,77,1,100%
4416,4495,80,1,100%
4496,4533,38,1,100%
4534,4584,51,1,100%
4585,4638,54,1,100%
4639,4697,59,1,100%
4698,4758,61,1,100%
4759,4837,79,1,100%
4838,4898,61,1,100%
4899,4962,64,1,100%
4963,5019,57,1,100%
5020,5073,54,1,100%
5074,5122,49,1,100%
5123,5188,66,1,100%
5189,5253,65,1,100%
5254,5329,76,1,100%
5330,5392,63,1,100%
5393,5461,69,1,100%
5462,5521,60,1,100%
5522,5587,66,1,100%
5588,5660,73,1,100%
5661,5722,62,1,100%
5723,5779,57,1,100%
5780,5822,43,1,100%
5823,5883,61,1,100%
5884,5945,62,1,100%
5946,5999,54,1,100%
6000,6067,68,1,100%
6068,6140,73,1,100%
6141,6228,88,1,100%
6229,6299,71,1,100%
6300,6358,59,1,100%
