Inicio,Final,Intentos,Finaliza,Acierto
0,46,47,1,100%
47,106,60,1,100%
107,173,67,1,100%
174,221,48,1,100%
222,261,40,1,100%
262,315,54,1,100%
316,368,53,1,100%
369,416,48,1,100%
417,456,40,1,100%
457,523,67,1,100%
524,565,42,1,100%
566,638,73,1,100%
639,695,57,1,100%
696,741,46,1,100%
742,804,63,1,100%
805,860,56,1,100%
861,906,46,1,100%
907,948,42,1,100%
949,992,44,1,100%
993,1047,55,1,100%
1048,1084,37,1,100%
1085,1134,50,1,100%
1135,1189,55,1,100%
1190,1245,56,1,100%
1246,1322,77,1,100%
1323,1356,34,1,100%
1357,1400,44,1,100%
1401,1463,63,1,100%
1464,1508,45,1,100%
1509,1547,39,1,100%
1548,1592,45,1,100%
1593,1647,55,1,100%
1648,1694,47,1,100%
1695,1756,62,1,100%
1757,1809,53,1,100%
1810,1875,66,1,100%
1876,1924,49,1,100%
1925,2074,150,0,97%
2075,2224,150,0,95%
2225,2285,61,1,95%
2286,2321,36,1,95%
2322,2361,40,1,95%
2362,2412,51,1,95%
2413,2466,54,1,95%
2467,2503,37,1,96%
2504,2653,150,0,93%
2654,2718,65,1,94%
2719,2792,74,1,94%
2793,2834,42,1,94%
2835,2895,61,1,94%
2896,2944,49,1,94%
2945,2996,52,1,94%
2997,3146,150,0,92%
3147,3167,21,1,93%
3168,3203,36,1,93%
3204,3256,53,1,93%
3257,3321,65,1,93%
3322,3363,42,1,93%
3364,3418,55,1,93%
3419,3461,43,1,93%
3462,3523,62,1,93%
3524,3585,62,1,94%
3586,3650,65,1,94%
3651,3690,40,1,94%
3691,3748,58,1,94%
3749,3783,35,1,94%
3784,3827,44,1,94%
3828,3887,60,1,94%
3888,3957,70,1,94%
3958,3987,30,1,94%
3988,4025,38,1,94%
4026,4069,44,1,94%
4070,4119,50,1,95%
4120,4171,52,1,95%
4172,4236,65,1,95%
4237,4279,43,1,95%
4280,4341,62,1,95%
4342,4388,47,1,95%
4389,4430,42,1,95%
4431,4464,34,1,95%
4465,4535,71,1,95%
4536,4586,51,1,95%
4587,4643,57,1,95%
4644,4679,36,1,95%
4680,4723,44,1,95%
4724,4789,66,1,95%
4790,4856,67,1,95%
4857,4911,55,1,95%
4912,4955,44,1,96%
4956,4995,40,1,96%
4996,5025,30,1,96%
5026,5059,34,1,96%
5060,5095,36,1,96%
5096,5134,39,1,96%
5135,5206,72,1,96%
5207,5267,61,1,96%
5268,5417,150,0,95%
5418,5478,61,1,95%
5479,5529,51,1,95%
