Inicio,Final,Intentos,Finaliza,Acierto
0,72,73,1,100%
73,135,63,1,100%
136,207,72,1,100%
208,281,74,1,100%
282,333,52,1,100%
334,417,84,1,100%
418,481,64,1,100%
482,540,59,1,100%
541,608,68,1,100%
609,686,78,1,100%
687,754,68,1,100%
755,831,77,1,100%
832,896,65,1,100%
897,946,50,1,100%
947,1039,93,1,100%
1040,1126,87,1,100%
1127,1182,56,1,100%
1183,1239,57,1,100%
1240,1314,75,1,100%
1315,1403,89,1,100%
1404,1470,67,1,100%
1471,1531,61,1,100%
1532,1612,81,1,100%
1613,1673,61,1,100%
1674,1759,86,1,100%
1760,1809,50,1,100%
1810,1882,73,1,100%
1883,1978,96,1,100%
1979,2035,57,1,100%
2036,2085,50,1,100%
2086,2138,53,1,100%
2139,2195,57,1,100%
2196,2250,55,1,100%
2251,2325,75,1,100%
2326,2404,79,1,100%
2405,2504,100,0,97%
2505,2585,81,1,97%
2586,2661,76,1,97%
2662,2749,88,1,97%
2750,2802,53,1,98%
2803,2851,49,1,98%
2852,2916,65,1,98%
2917,2995,79,1,98%
2996,3078,83,1,98%
3079,3130,52,1,98%
3131,3209,79,1,98%
3210,3301,92,1,98%
3302,3375,74,1,98%
3376,3426,51,1,98%
3427,3511,85,1,98%
3512,3567,56,1,98%
3568,3644,77,1,98%
3645,3724,80,1,98%
3725,3796,72,1,98%
3797,3847,51,1,98%
3848,3908,61,1,98%
3909,3974,66,1,98%
3975,4038,64,1,98%
4039,4095,57,1,98%
4096,4155,60,1,98%
4156,4247,92,1,98%
4248,4312,65,1,98%
4313,4386,74,1,98%
4387,4454,68,1,98%
4455,4521,67,1,98%
4522,4570,49,1,98%
4571,4629,59,1,99%
4630,4717,88,1,99%
4718,4797,80,1,99%
4798,4836,39,1,99%
4837,4899,63,1,99%
4900,4951,52,1,99%
4952,5010,59,1,99%
5011,5071,61,1,99%
5072,5150,79,1,99%
5151,5215,65,1,99%
5216,5279,64,1,99%
5280,5348,69,1,99%
5349,5416,68,1,99%
5417,5479,63,1,99%
5480,5544,65,1,99%
5545,5608,64,1,99%
5609,5697,89,1,99%
5698,5762,65,1,99%
5763,5836,74,1,99%
5837,5896,60,1,99%
5897,5963,67,1,99%
5964,6048,85,1,99%
6049,6123,75,1,99%
6124,6192,69,1,99%
6193,6235,43,1,99%
6236,6326,91,1,99%
6327,6390,64,1,99%
6391,6442,52,1,99%
6443,6509,67,1,99%
6510,6583,74,1,99%
6584,6671,88,1,99%
6672,6741,70,1,99%
6742,6800,59,1,99%
